Function,Total Time (microseconds),Avg Time Per Search (microseconds),Total Results,Avg Matches Per Output Record
bulk_bin_search,3741444,0.374144,0,0.000000
bulk_bin_search_4x,4313395,0.431339,0,0.000000
band_join,6,0.000000,1,0.142857
